2026-07-09T12:15:52Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:15:55Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:15:58Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:16:01Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:16:04Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:16:07Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:16:11Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:16:14Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:16:17Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:16:20Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:16:23Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:16:27Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:16:30Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:16:33Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:16:36Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:16:39Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:16:42Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:16:45Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:16:49Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:16:52Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:16:55Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:16:58Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:17:01Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:17:04Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:17:07Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:17:11Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:17:14Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:17:17Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:17:21Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:17:24Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:17:27Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:17:30Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:17:33Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:17:36Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:17:40Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:17:43Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:17:46Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:17:49Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:17:52Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:17:55Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:17:59Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:18:02Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:18:05Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:18:08Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:18:11Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:18:15Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:18:18Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:18:21Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:18:24Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:18:28Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:18:31Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:18:34Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:18:37Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:18:41Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:18:44Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:18:47Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:18:50Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:18:53Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
2026-07-09T12:18:57Z | CRITICAL | EVNT_042 | Port:6463 | PID:39818 | Action:TERMINATED_NON_COMPLIANT_PROCESS
